# energy grid [eV]     JDOS [1/eV]
    0.001000000    0.000000000
    0.051081803    0.000000000
    0.101163606    0.000000000
    0.151245409    0.000000000
    0.201327212    0.000000000
    0.251409015    0.000000000
    0.301490818    0.000000000
    0.351572621    0.000000000
    0.401654424    0.000000000
    0.451736227    0.000000000
    0.501818030    0.000000000
    0.551899833    0.000000000
    0.601981636    0.000000000
    0.652063439    0.000000000
    0.702145242    0.000000000
    0.752227045    0.000000000
    0.802308848    0.000000000
    0.852390651    0.000000000
    0.902472454    0.000000000
    0.952554257    0.000000000
    1.002636060    0.000000000
    1.052717863    0.000000000
    1.102799666    0.000000000
    1.152881469    0.000000000
    1.202963272    0.000000000
    1.253045075    0.000000000
    1.303126878    0.000000000
    1.353208681    0.000000000
    1.403290484    0.000000000
    1.453372287    0.000000002
    1.503454090    0.000000052
    1.553535893    0.000000710
    1.603617696    0.000004728
    1.653699499    0.000016617
    1.703781302    0.000034986
    1.753863105    0.000053245
    1.803944908    0.000068861
    1.854026711    0.000080605
    1.904108514    0.000087186
    1.954190317    0.000082772
    2.004272120    0.000076545
    2.054353923    0.000085037
    2.104435726    0.000093046
    2.154517529    0.000089217
    2.204599332    0.000090405
    2.254681135    0.000108506
    2.304762938    0.000153922
    2.354844741    0.000204069
    2.404926544    0.000205315
    2.455008347    0.000179386
    2.505090150    0.000231092
    2.555171953    0.000474468
    2.605253756    0.000903115
    2.655335559    0.001268619
    2.705417362    0.001407028
    2.755499165    0.001458061
    2.805580968    0.001557650
    2.855662771    0.001774512
    2.905744574    0.001945442
    2.955826377    0.001941564
    3.005908180    0.001789973
    3.055989983    0.001545233
    3.106071786    0.001467170
    3.156153589    0.001642031
    3.206235392    0.001981627
    3.256317195    0.002304972
    3.306398998    0.002416998
    3.356480801    0.002370953
    3.406562604    0.002377853
    3.456644407    0.002552687
    3.506726210    0.002753289
    3.556808013    0.002783885
    3.606889816    0.002660372
    3.656971619    0.002604299
    3.707053422    0.002846720
    3.757135225    0.003195114
    3.807217028    0.003259424
    3.857298831    0.003079624
    3.907380634    0.002866106
    3.957462437    0.002731390
    4.007544240    0.002619224
    4.057626043    0.002466696
    4.107707846    0.002315616
    4.157789649    0.002170940
    4.207871452    0.002045196
    4.257953255    0.002001448
    4.308035058    0.002133340
    4.358116861    0.002291345
    4.408198664    0.002307371
    4.458280467    0.002335104
    4.508362270    0.002478817
    4.558444073    0.002678122
    4.608525876    0.002886803
    4.658607679    0.002969960
    4.708689482    0.002968496
    4.758771285    0.003111139
    4.808853088    0.003260334
    4.858934891    0.003261072
    4.909016694    0.003218876
    4.959098497    0.003374354
    5.009180301    0.003820304
    5.059262104    0.004283501
    5.109343907    0.004514135
    5.159425710    0.004453248
    5.209507513    0.004191951
    5.259589316    0.003902140
    5.309671119    0.003631382
    5.359752922    0.003396422
    5.409834725    0.003198142
    5.459916528    0.003164863
    5.509998331    0.003380949
    5.560080134    0.003566004
    5.610161937    0.003543784
    5.660243740    0.003480748
    5.710325543    0.003645790
    5.760407346    0.004149385
    5.810489149    0.004693912
    5.860570952    0.004815924
    5.910652755    0.004505299
    5.960734558    0.004210502
    6.010816361    0.004106292
    6.060898164    0.004039398
    6.110979967    0.003964717
    6.161061770    0.004051057
    6.211143573    0.004243222
    6.261225376    0.004320454
    6.311307179    0.004278037
    6.361388982    0.004169539
    6.411470785    0.003971835
    6.461552588    0.003728642
    6.511634391    0.003465924
    6.561716194    0.003197542
    6.611797997    0.002993187
    6.661879800    0.002793425
    6.711961603    0.002692245
    6.762043406    0.002792177
    6.812125209    0.002882546
    6.862207012    0.002936978
    6.912288815    0.003117676
    6.962370618    0.003295702
    7.012452421    0.003410515
    7.062534224    0.003695576
    7.112616027    0.004085860
    7.162697830    0.004283681
    7.212779633    0.004250146
    7.262861436    0.003951449
    7.312943239    0.003554257
    7.363025042    0.003416033
    7.413106845    0.003464332
    7.463188648    0.003579560
    7.513270451    0.003832672
    7.563352254    0.004042039
    7.613434057    0.004118334
    7.663515860    0.004234668
    7.713597663    0.004339592
    7.763679466    0.004430969
    7.813761269    0.004664340
    7.863843072    0.004856999
    7.913924875    0.004785393
    7.964006678    0.004575437
    8.014088481    0.004385487
    8.064170284    0.004212365
    8.114252087    0.004125059
    8.164333890    0.004119867
    8.214415693    0.004269766
    8.264497496    0.004611053
    8.314579299    0.004986083
    8.364661102    0.005353028
    8.414742905    0.005457010
    8.464824708    0.005211358
    8.514906511    0.005026486
    8.564988314    0.005166003
    8.615070117    0.005361636
    8.665151920    0.005358972
    8.715233723    0.005229876
    8.765315526    0.005080972
    8.815397329    0.005012867
    8.865479132    0.004946285
    8.915560935    0.004809208
    8.965642738    0.004709860
    9.015724541    0.004625490
    9.065806344    0.004517607
    9.115888147    0.004413771
    9.165969950    0.004317288
    9.216051753    0.004181463
    9.266133556    0.004043285
    9.316215359    0.004030993
    9.366297162    0.004222265
    9.416378965    0.004565487
    9.466460768    0.004834604
    9.516542571    0.004848791
    9.566624374    0.004777766
    9.616706177    0.004808258
    9.666787980    0.004817473
    9.716869783    0.004780652
    9.766951586    0.004813202
    9.817033389    0.005012065
    9.867115192    0.005422728
    9.917196995    0.005953976
    9.967278798    0.006275274
   10.017360601    0.006156720
