  # energy grid [eV]     JDOS [1/eV] 
      14.424040       0.011126
      14.474124       0.011251
      14.524207       0.011118
      14.574290       0.010572
      14.624374       0.010280
      14.674457       0.010598
      14.724541       0.011148
      14.774624       0.011647
      14.824708       0.011709
      14.874791       0.011509
      14.924875       0.011747
      14.974958       0.012319
      15.025042       0.012537
      15.075125       0.012373
      15.125209       0.012560
      15.175292       0.013315
      15.225376       0.013928
      15.275459       0.013766
      15.325543       0.013007
      15.375626       0.012269
      15.425710       0.011842
      15.475793       0.011682
      15.525876       0.011860
      15.575960       0.012165
      15.626043       0.012030
      15.676127       0.011584
      15.726210       0.011302
      15.776294       0.011169
      15.826377       0.011117
      15.876461       0.011190
      15.926544       0.011260
      15.976628       0.011405
      16.026711       0.012012
      16.076795       0.012685
      16.126878       0.012891
      16.176962       0.012559
      16.227045       0.011708
      16.277129       0.010899
      16.327212       0.010732
      16.377295       0.011136
      16.427379       0.011936
      16.477462       0.012789
      16.527546       0.013224
      16.577629       0.013279
      16.627713       0.013215
      16.677796       0.013159
      16.727880       0.013104
      16.777963       0.012939
      16.828047       0.012762
      16.878130       0.012748
      16.928214       0.012773
      16.978297       0.012458
      17.028381       0.011804
      17.078464       0.011433
      17.128548       0.011481
      17.178631       0.011442
      17.228715       0.011089
      17.278798       0.010725
      17.328881       0.010820
      17.378965       0.011402
      17.429048       0.011951
      17.479132       0.011949
      17.529215       0.011244
      17.579299       0.010407
      17.629382       0.010062
      17.679466       0.010021
      17.729549       0.010118
      17.779633       0.010599
      17.829716       0.011307
      17.879800       0.011669
      17.929883       0.011608
      17.979967       0.011577
      18.030050       0.011606
      18.080134       0.011467
      18.130217       0.011237
      18.180301       0.010958
      18.230384       0.010584
      18.280467       0.010258
      18.330551       0.010269
      18.380634       0.010622
      18.430718       0.011244
      18.480801       0.011820
      18.530885       0.011925
      18.580968       0.011513
      18.631052       0.010889
      18.681135       0.010502
      18.731219       0.010641
      18.781302       0.011217
      18.831386       0.011843
      18.881469       0.012366
      18.931553       0.012865
      18.981636       0.013123
      19.031720       0.012797
      19.081803       0.012064
      19.131886       0.011432
      19.181970       0.011063
      19.232053       0.010864
      19.282137       0.010882
      19.332220       0.011183
      19.382304       0.011384
      19.432387       0.011360
      19.482471       0.011508
      19.532554       0.011906
      19.582638       0.012366
      19.632721       0.012491
      19.682805       0.012214
      19.732888       0.012175
      19.782972       0.012721
      19.833055       0.013380
      19.883139       0.013524
      19.933222       0.013080
      19.983306       0.012666
      20.033389       0.012760
      20.083472       0.013100
      20.133556       0.013411
      20.183639       0.013520
      20.233723       0.013245
      20.283806       0.013058
      20.333890       0.013314
      20.383973       0.013436
      20.434057       0.013056
      20.484140       0.012779
      20.534224       0.012996
      20.584307       0.013243
      20.634391       0.013156
      20.684474       0.013048
      20.734558       0.013332
      20.784641       0.013850
      20.834725       0.014325
      20.884808       0.014615
      20.934891       0.014622
      20.984975       0.014448
      21.035058       0.014434
      21.085142       0.014678
      21.135225       0.014836
      21.185309       0.014447
      21.235392       0.013633
      21.285476       0.012973
      21.335559       0.012769
      21.385643       0.012883
      21.435726       0.012756
      21.485810       0.012230
      21.535893       0.012058
      21.585977       0.012354
      21.636060       0.012619
      21.686144       0.012900
      21.736227       0.013311
      21.786311       0.013923
      21.836394       0.014621
      21.886477       0.015080
      21.936561       0.015228
      21.986644       0.014952
      22.036728       0.014471
      22.086811       0.014466
      22.136895       0.014810
      22.186978       0.014680
      22.237062       0.014284
      22.287145       0.014272
      22.337229       0.014549
      22.387312       0.014632
      22.437396       0.014381
      22.487479       0.014151
      22.537563       0.014364
      22.587646       0.014997
      22.637730       0.015484
      22.687813       0.015569
      22.737896       0.015319
      22.787980       0.014966
      22.838063       0.014645
      22.888147       0.014114
      22.938230       0.013795
      22.988314       0.014244
      23.038397       0.014833
      23.088481       0.014730
      23.138564       0.014178
      23.188648       0.013948
      23.238731       0.014171
      23.288815       0.014393
      23.338898       0.014428
      23.388982       0.014516
      23.439065       0.014686
      23.489149       0.014755
      23.539232       0.014924
      23.589316       0.015507
      23.639399       0.016009
      23.689482       0.016128
      23.739566       0.016420
      23.789649       0.016823
      23.839733       0.016500
      23.889816       0.015736
      23.939900       0.015240
      23.989983       0.015051
      24.040067       0.015141
      24.090150       0.015266
      24.140234       0.015146
      24.190317       0.014844
      24.240401       0.014552
      24.290484       0.014462
      24.340568       0.014455
      24.390651       0.014380
      24.440735       0.014259
      24.490818       0.014131
      24.540902       0.014175
      24.590985       0.014378
      24.641068       0.014410
      24.691152       0.014225
      24.741235       0.014368
      24.791319       0.015124
      24.841402       0.015947
      24.891486       0.016561
      24.941569       0.017207
      24.991653       0.017499
      25.041736       0.017108
      25.091820       0.016622
      25.141903       0.016531
      25.191987       0.016769
      25.242070       0.016986
      25.292154       0.016729
      25.342237       0.016112
      25.392321       0.015914
      25.442404       0.016367
      25.492487       0.017044
      25.542571       0.017474
      25.592654       0.017423
      25.642738       0.017193
      25.692821       0.017143
      25.742905       0.017056
      25.792988       0.016667
      25.843072       0.016273
      25.893155       0.016263
      25.943239       0.016773
      25.993322       0.017498
      26.043406       0.017787
      26.093489       0.017267
      26.143573       0.016282
      26.193656       0.015573
      26.243740       0.015426
      26.293823       0.015511
      26.343907       0.015783
      26.393990       0.016201
      26.444073       0.016506
      26.494157       0.016949
      26.544240       0.017450
      26.594324       0.017319
      26.644407       0.016718
      26.694491       0.016282
      26.744574       0.016071
      26.794658       0.016023
      26.844741       0.016150
      26.894825       0.016277
      26.944908       0.016392
      26.994992       0.016653
      27.045075       0.016768
      27.095159       0.016525
      27.145242       0.016316
      27.195326       0.016516
      27.245409       0.017039
      27.295492       0.017437
      27.345576       0.017443
      27.395659       0.017168
      27.445743       0.016744
      27.495826       0.016333
      27.545910       0.016382
      27.595993       0.016814
      27.646077       0.017015
      27.696160       0.016991
      27.746244       0.016980
      27.796327       0.016721
      27.846411       0.016340
      27.896494       0.016308
      27.946578       0.016888
      27.996661       0.017830
      28.046745       0.018368
      28.096828       0.018278
      28.146912       0.017997
      28.196995       0.017865
      28.247078       0.017838
      28.297162       0.017635
      28.347245       0.017586
      28.397329       0.017573
      28.447412       0.017169
      28.497496       0.016867
      28.547579       0.016976
      28.597663       0.017001
      28.647746       0.016714
      28.697830       0.016417
      28.747913       0.016379
      28.797997       0.016660
      28.848080       0.017086
      28.898164       0.017375
      28.948247       0.017766
      28.998331       0.018292
      29.048414       0.018430
      29.098497       0.018255
      29.148581       0.018157
      29.198664       0.018045
      29.248748       0.017453
      29.298831       0.016606
      29.348915       0.016322
      29.398998       0.016758
      29.449082       0.017443
      29.499165       0.018187
      29.549249       0.018821
      29.599332       0.018801
      29.649416       0.018027
      29.699499       0.017359
      29.749583       0.017327
      29.799666       0.017367
      29.849750       0.017098
      29.899833       0.016799
      29.949917       0.016770
      30.000000       0.016981
